point_id	x	y	name	system_type	code_orig	type	certain	unit_id	grts_address	grts_rank	haspengouw	grts_rank_haspengouw	area_m2	year	in_sac	source
21	122480.40787567297	164553.06662087236	Nieuwenhove	unknown	7220,gh	7220	FALSE	34	1080377	1	FALSE	NA	NA	NA	TRUE	inbo
79	119848.93272274877	161395.90426271874	Galmaarden 1	rivulet	7220	7220	TRUE	30	5500121	2	FALSE	NA	150	2014	TRUE	kalktufproject
80	119816.4116062177	161401.50864446536	Galmaarden 2	rivulet	7220	7220	TRUE	30	5500121	2	FALSE	NA	150	2014	TRUE	kalktufproject
71	230862.0111790025	168468.93327401672	Molenbeemd	rivulet	7220	7220	TRUE	26	6560882	3	TRUE	1	20	2014	FALSE	kalktufproject
56	146620.83211131537	179539.09896561503	Meise 1	mire	7220	7220	TRUE	19	7145593	4	FALSE	NA	150	2014	FALSE	kalktufproject
57	146763.60242335327	179731.95020065922	Meise 2	mire	7220	7220	TRUE	19	7145593	4	FALSE	NA	50	2014	FALSE	kalktufproject
97	113770.0924908829	160605.55427460838	NA	unknown	7220,gh	7220	FALSE	49	9549529	5	FALSE	NA	NA	NA	FALSE	habkaart
5	258267.80233011232	159456.44595011417	Remersdaal 1	rivulet	7220	7220	TRUE	2	10645378	6	FALSE	NA	200	2014	TRUE	kalktufproject
6	258371.10369094962	159458.70447933488	Remersdaal 2	rivulet	7220	7220	TRUE	2	10645378	6	FALSE	NA	500	2014	TRUE	kalktufproject
58	211411.01811441444	157151.22232868522	Hornebeek	rivulet	7220	7220	TRUE	20	11971110	7	TRUE	2	100	2014	FALSE	kalktufproject
102	144241.44483595277	155705.9986208137	NA	unknown	7220,gh	7220	FALSE	53	12686521	8	FALSE	NA	NA	NA	FALSE	habkaart
90	141790.96757773584	155505.6653594589	Maasdalbos	unknown	7220,gh	7220	FALSE	44	15639737	9	FALSE	NA	NA	NA	FALSE	kalktufproject
61	183524.45394909714	166723.202151048	Fonteinbeek	rivulet	7220	7220	TRUE	21	16848710	10	FALSE	NA	10	2014	FALSE	kalktufproject
14	93087.61373487464	162572.5691972375	Fonteinbos 2	unknown	7220	7220	TRUE	6	19382809	11	FALSE	NA	20	2014	TRUE	kalktufproject
32	228016.1726881153	167989.85232952796	Wijngaardbos 1	rivulet	7220	7220	TRUE	16	22269042	12	TRUE	3	200	2014	TRUE	kalktufproject
83	228364.70094387257	167955.0466952687	Wijngaardbos 2	rivulet	7220	7220	TRUE	16	22269042	12	TRUE	3	100	2014	TRUE	kalktufproject
24	166512.25938156652	165134.8528201254	Margijsbos	unknown	7220,gh	7220	FALSE	36	22379782	13	FALSE	NA	NA	NA	TRUE	inbo
92	228120.45186539114	168902.02100786753	Hoeselt	mire	7220	7220	TRUE	31	23809138	14	TRUE	4	100	2017	FALSE	habkaart
94	98744.1430432052	169781.60311352368	NA	unknown	7220,gh	7220	FALSE	46	24794265	15	FALSE	NA	NA	NA	FALSE	habkaart
7	145744.82217299068	160095.17333453987	Kesterbeek	unknown	7220,gh	7220	FALSE	32	25698233	16	FALSE	NA	NA	NA	TRUE	anb
99	94894.67491842443	164542.87481291685	NA	unknown	7220,gh	7220	FALSE	50	26432025	17	FALSE	NA	NA	NA	FALSE	habkaart
101	223076.4492492173	165507.93101364654	NA	unknown	7220,gh	7220	FALSE	52	26568306	18	TRUE	5	NA	NA	FALSE	habkaart
9	164711.87760941806	160492.72338492144	Bois de Bilande	rivulet	7220	7220	TRUE	4	28701702	19	FALSE	NA	50	2014	TRUE	kalktufproject
17	91894.52855709675	163020.5396107752	Watermolenbos	unknown	7220,gh	7220	FALSE	33	28770841	20	FALSE	NA	NA	NA	TRUE	inbo
38	142290.62935196882	171250.96671879012	Vallenbos	unknown	7220,gh	7220	FALSE	38	30773881	21	FALSE	NA	NA	NA	TRUE	inbo
44	106654.20188607613	173737.91995474324	Zwalm	unknown	7220,gh	7220	FALSE	39	31870041	22	FALSE	NA	NA	NA	TRUE	inbo
35	108237.1942655594	169886.9755143309	Boterhoek 1	rivulet	7220	7220	TRUE	17	32069721	23	FALSE	NA	50	2014	TRUE	kalktufproject
75	258193.9386516848	158553.8827232765	Mabroek	rivulet	7220	7220	TRUE	29	32243586	24	FALSE	NA	10	2014	FALSE	kalktufproject
10	252241.9715033854	160946.17098902445	KwintenHolleWeg	mire	7220	7220	TRUE	5	32277378	25	FALSE	NA	10	2014	TRUE	kalktufproject
8	253266.66146801657	160484.9693929162	Krindaal	rivulet	7220	7220	TRUE	3	35079042	26	FALSE	NA	800	2014	TRUE	kalktufproject
104	253280.46319071157	160484.90778099373	Krindaal 2	rivulet	7220	7220	TRUE	3	35079042	26	FALSE	NA	100	2014	TRUE	kalktufproject
27	219264.13195730094	166693.92024100944	Borgloon	rivulet	7220	7220	TRUE	12	35937906	27	TRUE	6	50	2014	TRUE	kalktufproject
15	250830.34133702872	162596.95984710846	Noorbeek	mire	7220	7220	TRUE	7	37281202	28	FALSE	NA	900	2014	TRUE	kalktufproject
16	91398.63109234515	162715.68594459817	Feelbos 1	rivulet	7220	7220	TRUE	8	37375513	29	FALSE	NA	130	2014	TRUE	kalktufproject
98	91437.74936076326	162357.9174169274	Feelbos 2	unknown	7220,gh	7220	FALSE	8	37375513	29	FALSE	NA	NA	NA	FALSE	habkaart
30	222964.06220982756	167475.78125390783	Zammelen	mire	7220	7220	TRUE	14	37852786	30	TRUE	7	50	2014	TRUE	kalktufproject
89	145292.8733766681	158818.8683600882	Begijnenbos	unknown	7220,gh	7220	FALSE	43	40288185	31	FALSE	NA	NA	NA	TRUE	kalktufproject
22	94050.87440017256	164918.77070908528	Elenebos	unknown	7220,gh	7220	FALSE	35	41144857	32	FALSE	NA	NA	NA	TRUE	inbo
31	170274.32986542897	167925.46676172968	Zoet Water 2	mire	7220	7220	TRUE	15	41924166	33	FALSE	NA	200	2014	TRUE	kalktufproject
28	233176.68483685935	167217.8922386337	Grootbos	rivulet	7220	7220	TRUE	13	44945522	34	TRUE	8	30	2014	TRUE	kalktufproject
95	139036.41248269822	163632.48767953832	NA	unknown	7220,gh	7220	FALSE	47	46486969	35	FALSE	NA	NA	NA	FALSE	habkaart
66	160156.80963972147	157936.37084370665	Overijse Fluxys	rivulet	7220	7220	TRUE	22	46521094	36	FALSE	NA	10	2014	FALSE	kalktufproject
23	222980.09692236822	165065.24619631935	Haren	rivulet	7220	7220	TRUE	11	48095858	37	TRUE	9	10	2014	TRUE	kalktufproject
100	98356.1101083822	158916.62164209224	NA	unknown	7220,gh	7220	FALSE	51	48457497	38	FALSE	NA	NA	NA	FALSE	habkaart
72	251878.2341040785	161083.15105027892	Kwinten	rivulet	7220	7220	TRUE	27	48989058	39	FALSE	NA	100	2014	TRUE	kalktufproject
73	101267.46655964977	171184.80636178795	Mater-Kerkgate	mire	7220	7220	TRUE	28	50014361	40	FALSE	NA	50	2014	FALSE	kalktufproject
86	143792.50652711754	171703.64566657133	Thaborberg	unknown	7220,gh	7220	FALSE	40	50766457	41	FALSE	NA	NA	NA	FALSE	kalktufproject
93	93184.41141744371	162665.4321243558	NA	unknown	7220,gh	7220	FALSE	45	50840089	42	FALSE	NA	NA	NA	FALSE	habkaart
96	130210.471962246	156650.587540349	NA	unknown	7220,gh	7220	FALSE	48	52711737	43	FALSE	NA	NA	NA	FALSE	habkaart
18	182689.77925727493	163497.09868805017	Meldertbos 2	rivulet	7220	7220	TRUE	9	52822854	44	FALSE	NA	10	2014	TRUE	kalktufproject
1	143423.95282565872	155249.71349125542	Steenputbeek 2	rivulet	7220	7220	TRUE	1	53548217	45	FALSE	NA	50	2014	TRUE	kalktufproject
2	143621.21946552844	155916.5927333124	Steenputbeek 1	rivulet	7220	7220	TRUE	1	53548217	45	FALSE	NA	20	2014	TRUE	kalktufproject
88	131824.1484629416	163745.20920430683	Kesterheide-Lombergbos	unknown	7220,gh	7220	FALSE	42	55726905	46	FALSE	NA	NA	NA	TRUE	kalktufproject
