unit_id	x	y	grts_address	grts_rank	haspengouw	grts_rank_haspengouw	nr_of_points	name	system_type	code_orig	type	certain	area_m2	year	in_sac	source
26	230862.0111790025	168468.93327401672	6560882	3	TRUE	1	1	Molenbeemd	rivulet	7220	7220	TRUE	20	2014	FALSE	kalktufproject
20	211411.01811441444	157151.22232868522	11971110	7	TRUE	2	1	Hornebeek	rivulet	7220	7220	TRUE	100	2014	FALSE	kalktufproject
16	228190.43681599392	167972.44951239834	22269042	12	TRUE	3	2	Wijngaardbos 2	rivulet	7220	7220	TRUE	300	2014	TRUE	kalktufproject
31	228120.45186539114	168902.02100786753	23809138	14	TRUE	4	1	Hoeselt	mire	7220	7220	TRUE	100	2017	FALSE	habkaart
52	223076.4492492173	165507.93101364654	26568306	18	TRUE	5	1	NA	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	habkaart
12	219264.13195730094	166693.92024100944	35937906	27	TRUE	6	1	Borgloon	rivulet	7220	7220	TRUE	50	2014	TRUE	kalktufproject
14	222964.06220982756	167475.78125390783	37852786	30	TRUE	7	1	Zammelen	mire	7220	7220	TRUE	50	2014	TRUE	kalktufproject
13	233176.68483685935	167217.8922386337	44945522	34	TRUE	8	1	Grootbos	rivulet	7220	7220	TRUE	30	2014	TRUE	kalktufproject
11	222980.09692236822	165065.24619631935	48095858	37	TRUE	9	1	Haren	rivulet	7220	7220	TRUE	10	2014	TRUE	kalktufproject
