unit_id	x	y	grts_address	grts_rank	haspengouw	grts_rank_haspengouw	nr_of_points	name	system_type	code_orig	type	certain	area_m2	year	in_sac	source
34	122480.40787567297	164553.06662087236	1080377	1	FALSE	NA	1	Nieuwenhove	unknown	7220,gh	7220	FALSE	NA	NA	TRUE	inbo
30	119832.67216448323	161398.70645359205	5500121	2	FALSE	NA	2	Galmaarden 2	rivulet	7220	7220	TRUE	300	2014	TRUE	kalktufproject
26	230862.0111790025	168468.93327401672	6560882	3	TRUE	1	1	Molenbeemd	rivulet	7220	7220	TRUE	20	2014	FALSE	kalktufproject
19	146692.21726733432	179635.52458313713	7145593	4	FALSE	NA	2	Meise 2	mire	7220	7220	TRUE	200	2014	FALSE	kalktufproject
49	113770.0924908829	160605.55427460838	9549529	5	FALSE	NA	1	NA	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	habkaart
2	258319.45301053097	159457.57521472452	10645378	6	FALSE	NA	2	Remersdaal 2	rivulet	7220	7220	TRUE	700	2014	TRUE	kalktufproject
20	211411.01811441444	157151.22232868522	11971110	7	TRUE	2	1	Hornebeek	rivulet	7220	7220	TRUE	100	2014	FALSE	kalktufproject
53	144241.44483595277	155705.9986208137	12686521	8	FALSE	NA	1	NA	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	habkaart
44	141790.96757773584	155505.6653594589	15639737	9	FALSE	NA	1	Maasdalbos	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	kalktufproject
21	183524.45394909714	166723.202151048	16848710	10	FALSE	NA	1	Fonteinbeek	rivulet	7220	7220	TRUE	10	2014	FALSE	kalktufproject
6	93087.61373487464	162572.5691972375	19382809	11	FALSE	NA	1	Fonteinbos 2	unknown	7220	7220	TRUE	20	2014	TRUE	kalktufproject
16	228190.43681599392	167972.44951239834	22269042	12	TRUE	3	2	Wijngaardbos 2	rivulet	7220	7220	TRUE	300	2014	TRUE	kalktufproject
36	166512.25938156652	165134.8528201254	22379782	13	FALSE	NA	1	Margijsbos	unknown	7220,gh	7220	FALSE	NA	NA	TRUE	inbo
31	228120.45186539114	168902.02100786753	23809138	14	TRUE	4	1	Hoeselt	mire	7220	7220	TRUE	100	2017	FALSE	habkaart
46	98744.1430432052	169781.60311352368	24794265	15	FALSE	NA	1	NA	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	habkaart
32	145744.82217299068	160095.17333453987	25698233	16	FALSE	NA	1	Kesterbeek	unknown	7220,gh	7220	FALSE	NA	NA	TRUE	anb
50	94894.67491842443	164542.87481291685	26432025	17	FALSE	NA	1	NA	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	habkaart
52	223076.4492492173	165507.93101364654	26568306	18	TRUE	5	1	NA	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	habkaart
4	164711.87760941806	160492.72338492144	28701702	19	FALSE	NA	1	Bois de Bilande	rivulet	7220	7220	TRUE	50	2014	TRUE	kalktufproject
33	91894.52855709675	163020.5396107752	28770841	20	FALSE	NA	1	Watermolenbos	unknown	7220,gh	7220	FALSE	NA	NA	TRUE	inbo
38	142290.62935196882	171250.96671879012	30773881	21	FALSE	NA	1	Vallenbos	unknown	7220,gh	7220	FALSE	NA	NA	TRUE	inbo
39	106654.20188607613	173737.91995474324	31870041	22	FALSE	NA	1	Zwalm	unknown	7220,gh	7220	FALSE	NA	NA	TRUE	inbo
17	108237.1942655594	169886.9755143309	32069721	23	FALSE	NA	1	Boterhoek 1	rivulet	7220	7220	TRUE	50	2014	TRUE	kalktufproject
29	258193.9386516848	158553.8827232765	32243586	24	FALSE	NA	1	Mabroek	rivulet	7220	7220	TRUE	10	2014	FALSE	kalktufproject
5	252241.9715033854	160946.17098902445	32277378	25	FALSE	NA	1	KwintenHolleWeg	mire	7220	7220	TRUE	10	2014	TRUE	kalktufproject
3	253273.56232936407	160484.93858695496	35079042	26	FALSE	NA	2	Krindaal 2	rivulet	7220	7220	TRUE	900	2014	TRUE	kalktufproject
12	219264.13195730094	166693.92024100944	35937906	27	TRUE	6	1	Borgloon	rivulet	7220	7220	TRUE	50	2014	TRUE	kalktufproject
7	250830.34133702872	162596.95984710846	37281202	28	FALSE	NA	1	Noorbeek	mire	7220	7220	TRUE	900	2014	TRUE	kalktufproject
8	91418.1902265542	162536.8016807628	37375513	29	FALSE	NA	2	Feelbos 2	unknown	7220,gh	7220	TRUE	NA	NA	TRUE	kalktufproject
14	222964.06220982756	167475.78125390783	37852786	30	TRUE	7	1	Zammelen	mire	7220	7220	TRUE	50	2014	TRUE	kalktufproject
43	145292.8733766681	158818.8683600882	40288185	31	FALSE	NA	1	Begijnenbos	unknown	7220,gh	7220	FALSE	NA	NA	TRUE	kalktufproject
35	94050.87440017256	164918.77070908528	41144857	32	FALSE	NA	1	Elenebos	unknown	7220,gh	7220	FALSE	NA	NA	TRUE	inbo
15	170274.32986542897	167925.46676172968	41924166	33	FALSE	NA	1	Zoet Water 2	mire	7220	7220	TRUE	200	2014	TRUE	kalktufproject
13	233176.68483685935	167217.8922386337	44945522	34	TRUE	8	1	Grootbos	rivulet	7220	7220	TRUE	30	2014	TRUE	kalktufproject
47	139036.41248269822	163632.48767953832	46486969	35	FALSE	NA	1	NA	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	habkaart
22	160156.80963972147	157936.37084370665	46521094	36	FALSE	NA	1	Overijse Fluxys	rivulet	7220	7220	TRUE	10	2014	FALSE	kalktufproject
11	222980.09692236822	165065.24619631935	48095858	37	TRUE	9	1	Haren	rivulet	7220	7220	TRUE	10	2014	TRUE	kalktufproject
51	98356.1101083822	158916.62164209224	48457497	38	FALSE	NA	1	NA	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	habkaart
27	251878.2341040785	161083.15105027892	48989058	39	FALSE	NA	1	Kwinten	rivulet	7220	7220	TRUE	100	2014	TRUE	kalktufproject
28	101267.46655964977	171184.80636178795	50014361	40	FALSE	NA	1	Mater-Kerkgate	mire	7220	7220	TRUE	50	2014	FALSE	kalktufproject
40	143792.50652711754	171703.64566657133	50766457	41	FALSE	NA	1	Thaborberg	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	kalktufproject
45	93184.41141744371	162665.4321243558	50840089	42	FALSE	NA	1	NA	unknown	7220,gh	7220	FALSE	NA	NA	FALSE	habkaart
