point_id	x	y	name	system_type	code_orig	type	certain	unit_id	grts_address	grts_rank	haspengouw	grts_rank_haspengouw	area_m2	year	in_sac	source
71	230862.0111790025	168468.93327401672	Molenbeemd	rivulet	7220	7220	TRUE	26	6560882	3	TRUE	1	20	2014	FALSE	kalktufproject
58	211411.01811441444	157151.22232868522	Hornebeek	rivulet	7220	7220	TRUE	20	11971110	7	TRUE	2	100	2014	FALSE	kalktufproject
32	228016.1726881153	167989.85232952796	Wijngaardbos 1	rivulet	7220	7220	TRUE	16	22269042	12	TRUE	3	200	2014	TRUE	kalktufproject
83	228364.70094387257	167955.0466952687	Wijngaardbos 2	rivulet	7220	7220	TRUE	16	22269042	12	TRUE	3	100	2014	TRUE	kalktufproject
92	228120.45186539114	168902.02100786753	Hoeselt	mire	7220	7220	TRUE	31	23809138	14	TRUE	4	100	2017	FALSE	habkaart
101	223076.4492492173	165507.93101364654	NA	unknown	7220,gh	7220	FALSE	52	26568306	18	TRUE	5	NA	NA	FALSE	habkaart
27	219264.13195730094	166693.92024100944	Borgloon	rivulet	7220	7220	TRUE	12	35937906	27	TRUE	6	50	2014	TRUE	kalktufproject
30	222964.06220982756	167475.78125390783	Zammelen	mire	7220	7220	TRUE	14	37852786	30	TRUE	7	50	2014	TRUE	kalktufproject
28	233176.68483685935	167217.8922386337	Grootbos	rivulet	7220	7220	TRUE	13	44945522	34	TRUE	8	30	2014	TRUE	kalktufproject
23	222980.09692236822	165065.24619631935	Haren	rivulet	7220	7220	TRUE	11	48095858	37	TRUE	9	10	2014	TRUE	kalktufproject
